,abstract
50,"Deep convolutional neural networks have recently achieved state-of-the-art
performance on a number of image recognition benchmarks, including the ImageNet
Large-Scale Visual Recognition Challenge (ILSVRC-2012). The winning model on
the localization sub-task was a network that predicts a single bounding box and
a confidence score for each object category in the image. Such a model captures
the whole-image context around the objects but cannot handle multiple instances
of the same object in the image without naively replicating the number of
outputs for each instance. In this work, we propose a saliency-inspired neural
network model for detection, which predicts a set of class-agnostic bounding
boxes along with a single score for each box, corresponding to its likelihood
of containing any object of interest. The model naturally handles a variable
number of instances for each class and allows for cross-class generalization at
the highest levels of the network. We are able to obtain competitive
recognition performance on VOC2007 and ILSVRC2012, while using only the top few
predicted locations in each image and a small number of neural network
evaluations"
51,"Automatic face recognition has received significant performance improvement
by developing specialised facial image representations. On the other hand,
generic object recognition has rarely been applied to the face recognition.
Spatial pyramid pooling of features encoded by an over-complete dictionary has
been the key component of many state-of-the-art image classification systems.
Inspired by its success, in this work we develop a new face image
representation method inspired by the second-order pooling in Carreira et al.
[1], which was originally proposed for image segmentation. The proposed method
differs from the previous methods in that, we encode the densely extracted
local patches by a small-size dictionary; and the facial image signatures are
obtained by pooling the second-order statistics of the encoded features. We
show the importance of pooling on encoded features, which is bypassed by the
original second-order pooling method to avoid the high computational cost.
Equipped with a simple linear classifier, the proposed method outperforms the
state-of-the-art face identification performance by large margins. For example,
on the LFW databases, the proposed method performs better than the previous
best by around 13% accuracy.Comment: 9 page"
52,"The requirement of large amounts of annotated images has become one grand
challenge while training deep neural network models for various visual
detection and recognition tasks. This paper presents a novel image synthesis
technique that aims to generate a large amount of annotated scene text images
for training accurate and robust scene text detection and recognition models.
The proposed technique consists of three innovative designs. First, it realizes
""semantic coherent"" synthesis by embedding texts at semantically sensible
regions within the background image, where the semantic coherence is achieved
by leveraging the semantic annotations of objects and image regions that have
been created in the prior semantic segmentation research. Second, it exploits
visual saliency to determine the embedding locations within each semantic
sensible region, which coincides with the fact that texts are often placed
around homogeneous regions for better visibility in scenes. Third, it designs
an adaptive text appearance model that determines the color and brightness of
embedded texts by learning from the feature of real scene text images
adaptively. The proposed technique has been evaluated over five public datasets
and the experiments show its superior performance in training accurate and
robust scene text detection and recognition models.Comment: 14 pages, ECCV2018, datasets:
  https://github.com/fnzhan/Verisimilar-Image-Synthesis-for-Accurate-Detection-and-Recognition-of-Texts-in-Scene"
53,"We describe CITlab's recognition system for the HTRtS competition attached to
the 13. International Conference on Document Analysis and Recognition, ICDAR
2015. The task comprises the recognition of historical handwritten documents.
The core algorithms of our system are based on multi-dimensional recurrent
neural networks (MDRNN) and connectionist temporal classification (CTC). The
software modules behind that as well as the basic utility technologies are
essentially powered by PLANET's ARGUS framework for intelligent text
recognition and image processing.Comment: Description of CITlab's System for the HTRtS 2015 Task : Handwritten
  Text Recognition on the tranScriptorium Datase"
54,"In this paper, we design and evaluate a convolutional autoencoder that
perturbs an input face image to impart privacy to a subject. Specifically, the
proposed autoencoder transforms an input face image such that the transformed
image can be successfully used for face recognition but not for gender
classification. In order to train this autoencoder, we propose a novel training
scheme, referred to as semi-adversarial training in this work. The training is
facilitated by attaching a semi-adversarial module consisting of a pseudo
gender classifier and a pseudo face matcher to the autoencoder. The objective
function utilized for training this network has three terms: one to ensure that
the perturbed image is a realistic face image; another to ensure that the
gender attributes of the face are confounded; and a third to ensure that
biometric recognition performance due to the perturbed image is not impacted.
Extensive experiments confirm the efficacy of the proposed architecture in
extending gender privacy to face images"
55,"Recommendation systems based on image recognition could prove a vital tool in
enhancing the experience of museum audiences. However, for practical systems
utilizing wearable cameras, a number of challenges exist which affect the
quality of image recognition. In this pilot study, we focus on recognition of
museum collections by using a wearable camera in three different museum spaces.
We discuss the application of wearable cameras, and the practical and technical
challenges in devising a robust system that can recognize artworks viewed by
the visitors to create a detailed record of their visit. Specifically, to
illustrate the impact of different kinds of museum spaces on image recognition,
we collect three training datasets of museum exhibits containing variety of
paintings, clocks, and sculptures. Subsequently, we equip selected visitors
with wearable cameras to capture artworks viewed by them as they stroll along
exhibitions. We use Convolutional Neural Networks (CNN) which are pre-trained
on the ImageNet dataset and fine-tuned on each of the training sets for the
purpose of artwork identification. In the testing stage, we use CNNs to
identify artworks captured by the visitors with a wearable camera. We analyze
the accuracy of their recognition and provide an insight into the applicability
of such a system to further engage audiences with museum exhibitions"
56,"The minutia descriptor which describes characteristics of minutia, plays a
major role in fingerprint recognition. Typically, fingerprint recognition
systems employ minutia descriptors to find potential correspondence between
minutiae, and they use similarity between two minutia descriptors to calculate
overall similarity between two fingerprint images. A good minutia descriptor
can improve recognition accuracy of fingerprint recognition system and largely
reduce comparing time. A good minutia descriptor should have high ability to
distinguish between different minutiae and at the same time should be robust in
difficult conditions including poor quality image and small size image. It also
should be effective in computational cost of similarity among descriptors. In
this paper, a robust minutia descriptor is constructed using Gabor wavelet and
linear discriminant analysis. This minutia descriptor has high distinguishing
ability, stability and simple comparing method. Experimental results on FVC2004
and FVC2006 databases show that the proposed minutia descriptor is very
effective in fingerprint recognition"
57,"In this paper, we introduce a large-scale, controlled, and multi-platform
object recognition dataset denoted as Challenging Unreal and Real Environments
for Object Recognition (CURE-OR). In this dataset, there are 1,000,000 images
of 100 objects with varying size, color, and texture that are positioned in
five different orientations and captured using five devices including a webcam,
a DSLR, and three smartphone cameras in real-world (real) and studio (unreal)
environments. The controlled challenging conditions include underexposure,
overexposure, blur, contrast, dirty lens, image noise, resizing, and loss of
color information. We utilize CURE-OR dataset to test recognition APIs-Amazon
Rekognition and Microsoft Azure Computer Vision- and show that their
performance significantly degrades under challenging conditions. Moreover, we
investigate the relationship between object recognition and image quality and
show that objective quality algorithms can estimate recognition performance
under certain photometric challenging conditions. The dataset is publicly
available at https://ghassanalregib.com/cure-or/.Comment: 8 pages, 7 figures, 4 table"
58,"The three-dimensional Anderson model is a well-studied model of disordered
electron systems that shows the delocalization--localization transition. As in
our previous papers on two- and three-dimensional (2D, 3D) quantum phase
transitions [J. Phys. Soc. Jpn. {\bf 85}, 123706 (2016), {\bf 86}, 044708
(2017)], we used an image recognition algorithm based on a multilayered
convolutional neural network. However, in contrast to previous papers in which
2D image recognition was used, we applied 3D image recognition to analyze
entire 3D wave functions. We show that a full phase diagram of the
disorder-energy plane is obtained once the 3D convolutional neural network has
been trained at the band center. We further demonstrate that the full phase
diagram for 3D quantum bond and site percolations can be drawn by training the
3D Anderson model at the band center.Comment: 11 pages, 5 figures. Published versio"
59,"For the automatic recognition of earth resources from ERTS-1 digital tapes, both multispectral and spatial pattern recognition techniques are important. Recognition of terrain types is based on spatial signatures that become evident by processing small portions of an image through selected algorithms. An investigation of spatial signatures that are applicable to ERTS-1 MSS images is described. Artifacts in the spatial signatures seem to be related to the multispectral scanner. A method for suppressing such artifacts is presented. Finally, results of terrain type recognition for one ERTS-1 image are presented"
60,"We consider dimensionality reduction methods for face recognition in a
supervised setting, using an image-as-matrix representation. A common procedure
is to project image matrices into a smaller space in which the recognition is
performed. These methods are often called ""two-dimensional"" in the literature
and there exist counterparts that use an image-as-vector representation. When
two face images are close to each other in the input space they may remain
close after projection - but this is not desirable in the situation when these
two images are from different classes, and this often affects the recognition
performance. We extend a previously developed `repulsion Laplacean' technique
based on adding terms to the objective function with the goal or creation a
repulsion energy between such images in the projected space. This scheme, which
relies on a repulsion graph, is generic and can be incorporated into various
two-dimensional methods. It can be regarded as a multilinear generalization of
the repulsion strategy by Kokiopoulou and Saad [Pattern Recog., 42 (2009), pp.
2392--2402]. Experimental results demonstrate that the proposed methodology
offers significant recognition improvement relative to the underlying
two-dimensional methods.Comment: 25 pages, 8 figures, 6 tables, unpublished manuscrip"
61,"The performance of the Fingerprint recognition system will be more accurate
with respect of enhancement for the fingerprint images. In this paper we
develop a novel method for Fingerprint image contrast enhancement technique
based on the discrete wavelet transform (DWT) and singular value decomposition
(SVD) has been proposed. This technique is compared with conventional image
equalization techniques such as standard general histogram equalization and
local histogram equalization. An automatic histogram threshold approach based
on a fuzziness measure is presented. Then, using an index of fuzziness, a
similarity process is started to find the threshold point. A significant
contrast between ridges and valleys of the best, medium and poor finger image
features to extract from finger images and get maximum recognition rate using
fuzzy measures. The experimental results show the recognition of superiority of
the proposed method to get maximum performance up gradation to the
implementation of this approach.Comment: Submitted to Journal of Computer Science and Engineering, see
  http://sites.google.com/site/jcseuk/volume-6-issue-1-marc"
62,"Enhancing low resolution images via super-resolution or image synthesis for
cross-resolution face recognition has been well studied. Several image
processing and machine learning paradigms have been explored for addressing the
same. In this research, we propose Synthesis via Deep Sparse Representation
algorithm for synthesizing a high resolution face image from a low resolution
input image. The proposed algorithm learns multi-level sparse representation
for both high and low resolution gallery images, along with an identity aware
dictionary and a transformation function between the two representations for
face identification scenarios. With low resolution test data as input, the high
resolution test image is synthesized using the identity aware dictionary and
transformation which is then used for face recognition. The performance of the
proposed SDSR algorithm is evaluated on four databases, including one real
world dataset. Experimental results and comparison with existing seven
algorithms demonstrate the efficacy of the proposed algorithm in terms of both
face identification and image quality measures"
63,"Although the image recognition has been a research topic for many years, many
researchers still have a keen interest in it[1]. In some papers[2][3][4],
however, there is a tendency to compare models only on one or two datasets,
either because of time restraints or because the model is tailored to a
specific task. Accordingly, it is hard to understand how well a certain model
generalizes across image recognition field[6]. In this paper, we compare four
neural networks on MNIST dataset[5] with different division. Among them, three
are Convolutional Neural Networks (CNN)[7], Deep Residual Network (ResNet)[2]
and Dense Convolutional Network (DenseNet)[3] respectively, and the other is
our improvement on CNN baseline through introducing Capsule Network
(CapsNet)[1] to image recognition area. We show that the previous models
despite do a quite good job in this area, our retrofitting can be applied to
get a better performance. The result obtained by CapsNet is an accuracy rate of
99.75\%, and it is the best result published so far. Another inspiring result
is that CapsNet only needs a small amount of data to get excellent performance.
Finally, we will apply CapsNet's ability to generalize in other image
recognition field in the future.Comment: TPW course essay. arXiv admin note: text overlap with
  arXiv:1709.04219 by other author"
64,"The recognition of materials and objects inside transparent containers using
computer vision has a wide range of applications, ranging from industrial
bottles filling to the automation of chemistry laboratory. One of the main
challenges in such recognition is the ability to distinguish between image
features resulting from the vessels surface and image features resulting from
the material inside the vessel. Reflections and the functional parts of a
vessels surface can create strong edges that can be mistakenly identified as
corresponding to the vessel contents, and cause recognition errors. The ability
to evaluate whether a specific edge in an image stems from the vessels surface
or from its contents can considerably improve the ability to identify materials
inside transparent vessels. This work will suggest a method for such
evaluation, based on the following two assumptions: 1) Areas of high curvature
on the vessel surface are likely to cause strong edges due to changes in
reflectivity, as is the appearance of functional parts (e.g. corks or valves).
2) Most transparent vessels (bottles, glasses) have high symmetry
(cylindrical). As a result the curvature angle of the vessels surface at each
point of the image is similar to the curvature angle of the contour line of the
vessel in the same row in the image. These assumptions, allow the
identification of image regions with strong edges corresponding to the vessel
surface reflections. Combining this method with existing image analysis methods
for detecting materials inside transparent containers allows considerable
improvement in accuracy"
65,"Convolutional Neural Networks (CNN) has achieved a great success in image
recognition task by automatically learning a hierarchical feature
representation from raw data. While the majority of Time-Series Classification
(TSC) literature is focused on 1D signals, this paper uses Recurrence Plots
(RP) to transform time-series into 2D texture images and then take advantage of
the deep CNN classifier. Image representation of time-series introduces
different feature types that are not available for 1D signals, and therefore
TSC can be treated as texture image recognition task. CNN model also allows
learning different levels of representations together with a classifier,
jointly and automatically. Therefore, using RP and CNN in a unified framework
is expected to boost the recognition rate of TSC. Experimental results on the
UCR time-series classification archive demonstrate competitive accuracy of the
proposed approach, compared not only to the existing deep architectures, but
also to the state-of-the art TSC algorithms.Comment: The 10th International Conference on Machine Vision (ICMV 2017"
66,"In this paper we propose an approach to lexicon-free recognition of text in
scene images. Our approach relies on a LSTM-based soft visual attention model
learned from convolutional features. A set of feature vectors are derived from
an intermediate convolutional layer corresponding to different areas of the
image. This permits encoding of spatial information into the image
representation. In this way, the framework is able to learn how to selectively
focus on different parts of the image. At every time step the recognizer emits
one character using a weighted combination of the convolutional feature vectors
according to the learned attention model. Training can be done end-to-end using
only word level annotations. In addition, we show that modifying the beam
search algorithm by integrating an explicit language model leads to
significantly better recognition results. We validate the performance of our
approach on standard SVT and ICDAR'03 scene text datasets, showing
state-of-the-art performance in unconstrained text recognition"
67,"Image feature representation plays an essential role in image recognition and
related tasks. The current state-of-the-art feature learning paradigm is
supervised learning from labeled data. However, this paradigm requires
large-scale category labels, which limits its applicability to domains where
labels are hard to obtain. In this paper, we propose a new data-driven feature
learning paradigm which does not rely on category labels. Instead, we learn
from user behavior data collected on social media. Concretely, we use the image
relationship discovered in the latent space from the user behavior data to
guide the image feature learning. We collect a large-scale image and user
behavior dataset from Behance.net. The dataset consists of 1.9 million images
and over 300 million view records from 1.9 million users. We validate our
feature learning paradigm on this dataset and find that the learned feature
significantly outperforms the state-of-the-art image features in learning
better image similarities. We also show that the learned feature performs
competitively on various recognition benchmarks"
68,"Recently, deep convolutional neural networks have shown good results for
image recognition. In this paper, we use convolutional neural networks with a
finder module, which discovers the important region for recognition and
extracts that region. We propose applying our method to the recognition of
protein crystals for X-ray structural analysis. In this analysis, it is
necessary to recognize states of protein crystallization from a large number of
images. There are several methods that realize protein crystallization
recognition by using convolutional neural networks. In each method, large-scale
data sets are required to recognize with high accuracy. In our data set, the
number of images is not good enough for training CNN. The amount of data for
CNN is a serious issue in various fields. Our method realizes high accuracy
recognition with few images by discovering the region where the crystallization
drop exists. We compared our crystallization image recognition method with a
high precision method using Inception-V3. We demonstrate that our method is
effective for crystallization images using several experiments. Our method
gained the AUC value that is about 5% higher than the compared method.Comment: 7 pages, 16 figure"
69,"In recent years, histopathology images have been increasingly used as a
diagnostic tool in the medical field. The process of accurately diagnosing a
biopsy sample requires significant expertise in the field, and as such can be
time-consuming and is prone to uncertainty and error. With the advent of
digital pathology, using image recognition systems to highlight problem areas
or locate similar images can aid pathologists in making quick and accurate
diagnoses. In this paper, we specifically consider the encoded local
projections (ELP) algorithm, which has previously shown some success as a tool
for classification and recognition of histopathology images. We build on the
success of the ELP algorithm as a means for image classification and
recognition by proposing a modified algorithm which captures the local
frequency information of the image. The proposed algorithm estimates local
frequencies by quantifying the changes in multiple projections in local windows
of greyscale images. By doing so we remove the need to store the full
projections, thus significantly reducing the histogram size, and decreasing
computation time for image retrieval and classification tasks. Furthermore, we
investigate the effectiveness of applying our method to histopathology images
which have been digitally separated into their hematoxylin and eosin stain
components. The proposed algorithm is tested on the publicly available invasive
ductal carcinoma (IDC) data set. The histograms are used to train an SVM to
classify the data. The experiments showed that the proposed method outperforms
the original ELP algorithm in image retrieval tasks. On classification tasks,
the results are found to be comparable to state-of-the-art deep learning
methods and better than many handcrafted features from the literature.Comment: Accepted for publication in the International Conference on Image
  Analysis and Recognition (ICIAR 2019"
70,"Recognizing a previously visited place, also known as place recognition (or
loop closure detection) is the key towards fully autonomous mobile robots and
self-driving vehicle navigation. Augmented with various Simultaneous
Localization and Mapping techniques (SLAM), loop closure detection allows for
incremental pose correction and can bolster efficient and accurate map
creation. However, repeated and similar scenes (perceptual aliasing) and long
term appearance changes (e.g. weather variations) are major challenges for
current place recognition algorithms. We introduce a new dataset Multisensory
Omnidirectional Long-term Place recognition (MOLP) comprising omnidirectional
intensity and disparity images. This dataset presents many of the challenges
faced by outdoor mobile robots and current place recognition algorithms. Using
MOLP dataset, we formulate the place recognition problem as a regularized
sparse convex optimization problem. We conclude that information extracted from
intensity image is superior to disparity image in isolating discriminative
features for successful long term place recognition. Furthermore, when these
discriminative features are extracted from an omnidirectional vision sensor, a
robust bidirectional loop closure detection approach is established, allowing
mobile robots to close the loop, regardless of the difference in the direction
when revisiting a place.Comment: 15 page"
71,"Spiking neural networks (SNNs) equipped with latency coding and spike-timing
dependent plasticity rules offer an alternative to solve the data and energy
bottlenecks of standard computer vision approaches: they can learn visual
features without supervision and can be implemented by ultra-low power hardware
architectures. However, their performance in image classification has never
been evaluated on recent image datasets. In this paper, we compare SNNs to
auto-encoders on three visual recognition datasets, and extend the use of SNNs
to color images. The analysis of the results helps us identify some bottlenecks
of SNNs: the limits of on-center/off-center coding, especially for color
images, and the ineffectiveness of current inhibition mechanisms. These issues
should be addressed to build effective SNNs for image recognition"
72,"Chinese herbs play a critical role in Traditional Chinese Medicine. Due to
different recognition granularity, they can be recognized accurately only by
professionals with much experience. It is expected that they can be recognized
automatically using new techniques like machine learning. However, there is no
Chinese herbal image dataset available. Simultaneously, there is no machine
learning method which can deal with Chinese herbal image recognition well.
Therefore, this paper begins with building a new standard Chinese-Herbs
dataset. Subsequently, a new Attentional Pyramid Networks (APN) for Chinese
herbal recognition is proposed, where both novel competitive attention and
spatial collaborative attention are proposed and then applied. APN can
adaptively model Chinese herbal images with different feature scales. Finally,
a new framework for Chinese herbal recognition is proposed as a new application
of APN. Experiments are conducted on our constructed dataset and validate the
effectiveness of our methods.Comment: 14 pages, 8 figure"
73,"Zero-shot recognition aims to accurately recognize objects of unseen classes
by using a shared visual-semantic mapping between the image feature space and
the semantic embedding space. This mapping is learned on training data of seen
classes and is expected to have transfer ability to unseen classes. In this
paper, we tackle this problem by exploiting the intrinsic relationship between
the semantic space manifold and the transfer ability of visual-semantic
mapping. We formalize their connection and cast zero-shot recognition as a
joint optimization problem. Motivated by this, we propose a novel framework for
zero-shot recognition, which contains dual visual-semantic mapping paths. Our
analysis shows this framework can not only apply prior semantic knowledge to
infer underlying semantic manifold in the image feature space, but also
generate optimized semantic embedding space, which can enhance the transfer
ability of the visual-semantic mapping to unseen classes. The proposed method
is evaluated for zero-shot recognition on four benchmark datasets, achieving
outstanding results.Comment: Accepted as a full paper in IEEE Computer Vision and Pattern
  Recognition (CVPR) 201"
74,"Place recognition is an essential component of Simultaneous Localization And
Mapping (SLAM). Under severe appearance change, reliable place recognition is a
difficult perception task since the same place is perceptually very different
in the morning, at night, or over different seasons. This work addresses place
recognition as a domain translation task. Using a pair of coupled Generative
Adversarial Networks (GANs), we show that it is possible to generate the
appearance of one domain (such as summer) from another (such as winter) without
requiring image-to-image correspondences across the domains. Mapping between
domains is learned from sets of images in each domain without knowing the
instance-to-instance correspondence by enforcing a cyclic consistency
constraint. In the process, meaningful feature spaces are learned for each
domain, the distances in which can be used for the task of place recognition.
Experiments show that learned features correspond to visual similarity and can
be effectively used for place recognition across seasons.Comment: Accepted for publication in IEEE International Conference on Robotics
  and Automation (ICRA), 201"
75,"Recent results indicate that the generic descriptors extracted from the
convolutional neural networks are very powerful. This paper adds to the
mounting evidence that this is indeed the case. We report on a series of
experiments conducted for different recognition tasks using the publicly
available code and model of the \overfeat network which was trained to perform
object classification on ILSVRC13. We use features extracted from the \overfeat
network as a generic image representation to tackle the diverse range of
recognition tasks of object image classification, scene recognition, fine
grained recognition, attribute detection and image retrieval applied to a
diverse set of datasets. We selected these tasks and datasets as they gradually
move further away from the original task and data the \overfeat network was
trained to solve. Astonishingly, we report consistent superior results compared
to the highly tuned state-of-the-art systems in all the visual classification
tasks on various datasets. For instance retrieval it consistently outperforms
low memory footprint methods except for sculptures dataset. The results are
achieved using a linear SVM classifier (or $L2$ distance in case of retrieval)
applied to a feature representation of size 4096 extracted from a layer in the
net. The representations are further modified using simple augmentation
techniques e.g. jittering. The results strongly suggest that features obtained
from deep learning with convolutional nets should be the primary candidate in
most visual recognition tasks.Comment: version 3 revisions: 1)Added results using feature processing and
  data augmentation 2)Referring to most recent efforts of using CNN for
  different visual recognition tasks 3) updated text/captio"
76,"Which one comes first: segmentation or recognition? We

propose a probabilistic framework for carrying out the

two simultaneously. The framework combines an LDA

‘bag of visual words’ model for recognition, and a hybrid

parametric-nonparametric model for segmentation. If applied

to a collection of images, our framework can simultaneously

discover the segments of each image, and the correspondence

between such segments. Such segments may be

thought of as the ‘parts’ of corresponding objects that appear

in the image collection. Thus, the model may be used

for learning new categories, detecting/classifying objects,

and segmenting images"
77,"We describe in this report our audio scene recognition system submitted to
the DCASE 2016 challenge. Firstly, given the label set of the scenes, a label
tree is automatically constructed. This category taxonomy is then used in the
feature extraction step in which an audio scene instance is represented by a
label tree embedding image. Different convolutional neural networks, which are
tailored for the task at hand, are finally learned on top of the image features
for scene recognition. Our system reaches an overall recognition accuracy of
81.2% and 83.3% and outperforms the DCASE 2016 baseline with absolute
improvements of 8.7% and 6.1% on the development and test data, respectively.Comment: Task1 technical report for the DCASE2016 challenge. arXiv admin note:
  text overlap with arXiv:1606.0790"
78,"Automatic organization of personal photos is a problem with many real world
ap- plications, and can be divided into two main tasks: recognizing the event
type of the photo collection, and selecting interesting images from the
collection. In this paper, we attempt to simultaneously solve both tasks:
album-wise event recognition and image- wise importance prediction. We
collected an album dataset with both event type labels and image importance
labels, refined from an existing CUFED dataset. We propose a hybrid system
consisting of three parts: A siamese network-based event-specific image
importance prediction, a Convolutional Neural Network (CNN) that recognizes the
event type, and a Long Short-Term Memory (LSTM)-based sequence level event
recognizer. We propose an iterative updating procedure for event type and image
importance score prediction. We experimentally verified that image importance
score prediction and event type recognition can each help the performance of
the other.Comment: Accepted as oral in BMVC 201"
79,"For the efficient management of large image databases, the automated characterization of images and the usage of that characterization for searching and ordering tasks is highly desirable. The purpose of the project SEMACODE is to combine the still unsolved problem of content-oriented characterization of images with scale-invariant object recognition and modelbased compression methods. To achieve this goal, existing techniques as well as new concepts related to pattern matching, image encoding, and image compression are examined. The resulting methods are integrated in a common framework with the aid of a content-oriented conception. For the application, an image database at the library of the university of Frankfurt/Main (StUB; about 60000 images), the required operations are developed. The search and query interfaces are defined in close cooperation with the StUB project “Digitized Colonial Picture Library”. This report describes the fundamentals and first results of the image encoding and object recognition algorithms developed within the scope of the project"
80,"Convolutional Neural Networks (CNNs) require large image corpora to be
trained on classification tasks. The variation in image resolutions, sizes of
objects and patterns depicted, and image scales, hampers CNN training and
performance, because the task-relevant information varies over spatial scales.
Previous work attempting to deal with such scale variations focused on
encouraging scale-invariant CNN representations. However, scale-invariant
representations are incomplete representations of images, because images
contain scale-variant information as well. This paper addresses the combined
development of scale-invariant and scale-variant representations. We propose a
multi- scale CNN method to encourage the recognition of both types of features
and evaluate it on a challenging image classification task involving
task-relevant characteristics at multiple scales. The results show that our
multi-scale CNN outperforms single-scale CNN. This leads to the conclusion that
encouraging the combined development of a scale-invariant and scale-variant
representation in CNNs is beneficial to image recognition performance"
81,"The success of deep neural networks is mostly due their ability to learn
meaningful features from the data. Features learned in the hidden layers of
deep neural networks trained in computer vision tasks have been shown to be
similar to mid-level vision features. We leverage this fact in this work and
propose the visualization regularizer for image tasks. The proposed
regularization technique enforces smoothness of the features learned by hidden
nodes and turns out to be a special case of Tikhonov regularization. We achieve
higher classification accuracy as compared to existing regularizers such as the
L2 norm regularizer and dropout, on benchmark datasets without changing the
training computational complexity"
82,"Unlike natural images, medical images often have intrinsic characteristics
that can be leveraged for neural network learning. For example, images that
belong to different stages of a disease may continuously follow a certain
progression pattern. In this paper, we propose a novel method that leverages
disease progression learning for medical image recognition. In our method,
sequences of images ordered by disease stages are learned by a neural network
that consists of a shared vision model for feature extraction and a long
short-term memory network for the learning of stage sequences. Auxiliary vision
outputs are also included to capture stage features that tend to be discrete
along the disease progression. Our proposed method is evaluated on a public
diabetic retinopathy dataset, and achieves about 3.3% improvement in disease
staging accuracy, compared to the baseline method that does not use disease
progression learning"
83,"The multimedia content in the World Wide Web is rapidly growing and contains
valuable information for many applications in different domains. For this
reason, the Internet Archive initiative has been gathering billions of
time-versioned web pages since the mid-nineties. However, the huge amount of
data is rarely labeled with appropriate metadata and automatic approaches are
required to enable semantic search. Normally, the textual content of the
Internet Archive is used to extract entities and their possible relations
across domains such as politics and entertainment, whereas image and video
content is usually neglected. In this paper, we introduce a system for person
recognition in image content of web news stored in the Internet Archive. Thus,
the system complements entity recognition in text and allows researchers and
analysts to track media coverage and relations of persons more precisely. Based
on a deep learning face recognition approach, we suggest a system that
automatically detects persons of interest and gathers sample material, which is
subsequently used to identify them in the image data of the Internet Archive.
We evaluate the performance of the face recognition system on an appropriate
standard benchmark dataset and demonstrate the feasibility of the approach with
two use cases"
84,"The technology of image segmentation is widely used in medical image
processing, face recognition pedestrian detection, etc. The current image
segmentation techniques include region-based segmentation, edge detection
segmentation, segmentation based on clustering, segmentation based on
weakly-supervised learning in CNN, etc. This paper analyzes and summarizes
these algorithms of image segmentation, and compares the advantages and
disadvantages of different algorithms. Finally, we make a prediction of the
development trend of image segmentation with the combination of these
algorithms"
85,"In this paper we address the problem of offline Arabic handwriting word
recognition. Off-line recognition of handwritten words is a difficult task due
to the high variability and uncertainty of human writing. The majority of the
recent systems are constrained by the size of the lexicon to deal with and the
number of writers. In this paper, we propose an approach for multi-writers
Arabic handwritten words recognition using multiple Bayesian networks. First,
we cut the image in several blocks. For each block, we compute a vector of
descriptors. Then, we use K-means to cluster the low-level features including
Zernik and Hu moments. Finally, we apply four variants of Bayesian networks
classifiers (Na\""ive Bayes, Tree Augmented Na\""ive Bayes (TAN), Forest
Augmented Na\""ive Bayes (FAN) and DBN (dynamic bayesian network) to classify
the whole image of tunisian city name. The results demonstrate FAN and DBN
outperform good recognition ratesComment: arXiv admin note: substantial text overlap with arXiv:1204.167"
86,"Blur in facial images significantly impedes the efficiency of recognition
approaches. However, most existing blind deconvolution methods cannot generate
satisfactory results due to their dependence on strong edges, which are
sufficient in natural images but not in facial images. In this paper, we
represent point spread functions (PSFs) by the linear combination of a set of
pre-defined orthogonal PSFs, and similarly, an estimated intrinsic (EI) sharp
face image is represented by the linear combination of a set of pre-defined
orthogonal face images. In doing so, PSF and EI estimation is simplified to
discovering two sets of linear combination coefficients, which are
simultaneously found by our proposed coupled learning algorithm. To make our
method robust to different types of blurry face images, we generate several
candidate PSFs and EIs for a test image, and then, a non-blind deconvolution
method is adopted to generate more EIs by those candidate PSFs. Finally, we
deploy a blind image quality assessment metric to automatically select the
optimal EI. Thorough experiments on the facial recognition technology database,
extended Yale face database B, CMU pose, illumination, and expression (PIE)
database, and face recognition grand challenge database version 2.0 demonstrate
that the proposed approach effectively restores intrinsic sharp face images
and, consequently, improves the performance of face recognition"
87,"To address the sequential changes of images including poses, in this paper we
propose a recurrent regression neural network(RRNN) framework to unify two
classic tasks of cross-pose face recognition on still images and video-based
face recognition. To imitate the changes of images, we explicitly construct the
potential dependencies of sequential images so as to regularize the final
learning model. By performing progressive transforms for sequentially adjacent
images, RRNN can adaptively memorize and forget the information that benefits
for the final classification. For face recognition of still images, given any
one image with any one pose, we recurrently predict the images with its
sequential poses to expect to capture some useful information of others poses.
For video-based face recognition, the recurrent regression takes one entire
sequence rather than one image as its input. We verify RRNN in static face
dataset MultiPIE and face video dataset YouTube Celebrities(YTC). The
comprehensive experimental results demonstrate the effectiveness of the
proposed RRNN method"
88,"With the rapid development of digital imaging and communication technologies,
image set based face recognition (ISFR) is becoming increasingly important. One
key issue of ISFR is how to effectively and efficiently represent the query
face image set by using the gallery face image sets. The set-to-set distance
based methods ignore the relationship between gallery sets, while representing
the query set images individually over the gallery sets ignores the correlation
between query set images. In this paper, we propose a novel image set based
collaborative representation and classification method for ISFR. By modeling
the query set as a convex or regularized hull, we represent this hull
collaboratively over all the gallery sets. With the resolved representation
coefficients, the distance between the query set and each gallery set can then
be calculated for classification. The proposed model naturally and effectively
extends the image based collaborative representation to an image set based one,
and our extensive experiments on benchmark ISFR databases show the superiority
of the proposed method to state-of-the-art ISFR methods under different set
sizes in terms of both recognition rate and efficiency"
89,"System facilitates acquisition, digital processing, and recording of image data, as well as pattern recognition in an iterative mode"
90,"IPRS is a freely available software system which consists of about 250 library functions in C, and a set of application programs. It is designed to run under UNIX and comes with full source code, system manual pages, and a comprehensive user's and programmer's guide. It is intended for use by researchers in human vision, pattern recognition, image processing, machine vision and machine learning"
